"Chan","Cond","Fvals","FdfNum","FdfDen","Pvals","xpos","ypos","Pvals_cuts"
78,"Direction",0.988353120814338,4,360,0.413807962515497,0.054807,-0.12811,"ns"
79,"Direction",0.194246327053553,4,360,0.941333268160007,0.050987,-0.076676,"ns"
80,"Direction",0.349583516426178,4,360,0.844282705735416,0.044495,-0.015575,"ns"
81,"Direction",0.466811240840464,4,360,0.760097208827182,5.188e-17,-0.42363,"ns"
82,"Direction",0.894219832796114,4,360,0.467450880003334,0.049033,-0.36828,"ns"
83,"Direction",0.30623282206736,4,360,0.873759238076334,0.093018,-0.29235,"ns"
84,"Direction",1.04557666269536,4,360,0.38352341418017,0.10296,-0.21873,"ns"
85,"Direction",2.32413839209227,4,360,0.0561989982559606,0.10478,-0.15427,"ns"
86,"Direction",0.418443576433858,4,360,0.795339693322727,0.099452,-0.09574,"ns"
87,"Direction",0.323770170559148,4,360,0.861995909425336,0.091723,-0.035635,"ns"
88,"Direction",1.77436135804178,4,360,0.133380940907302,0.10679,-0.41491,"ns"
89,"Direction",1.33465844428287,4,360,0.256558175446962,0.1585,-0.34149,"ns"
90,"Direction",0.0434933737984959,4,360,0.996411479548799,0.16624,-0.26054,"ns"
91,"Direction",0.75699126524675,4,360,0.553873746006737,0.15297,-0.18922,"ns"
92,"Direction",1.1531810417135,4,360,0.331301428410433,0.15394,-0.11866,"ns"
93,"Direction",0.36265333079453,4,360,0.835159083811682,0.15112,-0.059346,"ns"
94,"Direction",2.64574988434806,4,360,0.0333623980828959,0.22108,-0.37388,"<.05"
95,"Direction",0.51377667571385,4,360,0.725653600903826,0.25813,-0.2804,"ns"
96,"Direction",0.305164755531564,4,360,0.874467731692258,0.22492,-0.21452,"ns"
97,"Direction",0.410651810386311,4,360,0.800968726867496,0.20096,-0.14301,"ns"
98,"Direction",1.03449121925443,4,360,0.389252758908767,0.19145,-0.085584,"ns"
99,"Direction",0.270641170492544,4,360,0.896812187234173,0.349,-0.28153,"ns"
100,"Direction",0.204073323074133,4,360,0.936068933999256,0.33631,-0.19112,"ns"
101,"Direction",1.10266242371966,4,360,0.355058235806766,0.27341,-0.16219,"ns"
102,"Direction",0.268005386919733,4,360,0.898469754154599,0.24052,-0.075603,"ns"
103,"Direction",0.490365294106788,4,360,0.742828953149424,0.19461,-0.022574,"ns"
104,"Direction",0.992397068399499,4,360,0.411609924856923,0.14086,0.0073253,"ns"
105,"Direction",0.684312116800774,4,360,0.603199199198996,0.089234,0.023191,"ns"
